period,respondent,respondent-name,type,type-name,value,value-units
2023-11-20T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37831,megawatthours
2023-11-20T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38694,megawatthours
2023-11-20T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40176,megawatthours
2023-11-20T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41950,megawatthours
2023-11-20T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43557,megawatthours
2023-11-20T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44675,megawatthours
2023-11-20T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45447,megawatthours
2023-11-20T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46010,megawatthours
2023-11-20T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45444,megawatthours
2023-11-19T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44487,megawatthours
2023-11-19T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44197,megawatthours
2023-11-19T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44025,megawatthours
2023-11-19T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43899,megawatthours
2023-11-19T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43588,megawatthours
2023-11-19T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43095,megawatthours
2023-11-19T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42429,megawatthours
2023-11-19T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41576,megawatthours
2023-11-19T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40189,megawatthours
2023-11-19T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38630,megawatthours
2023-11-19T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37439,megawatthours
2023-11-19T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36604,megawatthours
2023-11-19T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36208,megawatthours
2023-11-19T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36204,megawatthours
2023-11-19T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36670,megawatthours
2023-11-19T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37441,megawatthours
2023-11-19T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38651,megawatthours
2023-11-19T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39849,megawatthours
2023-11-19T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41386,megawatthours
2023-11-19T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42660,megawatthours
2023-11-19T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43451,megawatthours
2023-11-19T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44121,megawatthours
2023-11-19T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45059,megawatthours
2023-11-19T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44849,megawatthours
2023-11-18T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44454,megawatthours
2023-11-18T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44471,megawatthours
2023-11-18T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44556,megawatthours
2023-11-18T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44318,megawatthours
2023-11-18T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44019,megawatthours
2023-11-18T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43687,megawatthours
2023-11-18T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43045,megawatthours
2023-11-18T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42320,megawatthours
2023-11-18T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40830,megawatthours
2023-11-18T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39799,megawatthours
2023-11-18T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38787,megawatthours
2023-11-18T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37613,megawatthours
2023-11-18T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36993,megawatthours
2023-11-18T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36951,megawatthours
2023-11-18T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37520,megawatthours
2023-11-18T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38175,megawatthours
2023-11-18T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39280,megawatthours
2023-11-18T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40734,megawatthours
2023-11-18T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42628,megawatthours
2023-11-18T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44301,megawatthours
2023-11-18T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45360,megawatthours
2023-11-18T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46437,megawatthours
2023-11-18T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47471,megawatthours
2023-11-18T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47294,megawatthours
2023-11-17T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47360,megawatthours
2023-11-17T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47520,megawatthours
2023-11-17T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46909,megawatthours
2023-11-17T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46287,megawatthours
2023-11-17T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45485,megawatthours
2023-11-17T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44988,megawatthours
2023-11-17T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44674,megawatthours
2023-11-17T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44622,megawatthours
2023-11-17T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44012,megawatthours
2023-11-17T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43066,megawatthours
2023-11-17T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41885,megawatthours
2023-11-17T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39213,megawatthours
2023-11-17T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37604,megawatthours
2023-11-17T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37014,megawatthours
2023-11-17T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37065,megawatthours
2023-11-17T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37585,megawatthours
2023-11-17T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38604,megawatthours
2023-11-17T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40271,megawatthours
2023-11-17T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42468,megawatthours
2023-11-17T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44513,megawatthours
2023-11-17T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45647,megawatthours
2023-11-17T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46234,megawatthours
2023-11-17T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46539,megawatthours
2023-11-17T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45397,megawatthours
2023-11-16T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44421,megawatthours
2023-11-16T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44384,megawatthours
2023-11-16T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44766,megawatthours
2023-11-16T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45130,megawatthours
2023-11-16T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45029,megawatthours
2023-11-16T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44917,megawatthours
2023-11-16T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44816,megawatthours
2023-11-16T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44609,megawatthours
2023-11-16T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44231,megawatthours
2023-11-16T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43845,megawatthours
2023-11-16T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42606,megawatthours
2023-11-16T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39575,megawatthours
2023-11-16T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37635,megawatthours
2023-11-16T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37063,megawatthours
2023-11-16T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36994,megawatthours
2023-11-16T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37498,megawatthours
2023-11-16T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38302,megawatthours
2023-11-16T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39746,megawatthours
2023-11-16T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41856,megawatthours
2023-11-16T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43987,megawatthours
2023-11-16T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45386,megawatthours
2023-11-16T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46221,megawatthours
2023-11-16T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46003,megawatthours
2023-11-16T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45037,megawatthours
2023-11-15T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45889,megawatthours
2023-11-15T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45180,megawatthours
2023-11-15T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44529,megawatthours
2023-11-15T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43993,megawatthours
2023-11-15T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43329,megawatthours
2023-11-15T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43029,megawatthours
2023-11-15T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42987,megawatthours
2023-11-15T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43108,megawatthours
2023-11-15T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43268,megawatthours
2023-11-15T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43643,megawatthours
2023-11-15T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42771,megawatthours
2023-11-15T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39845,megawatthours
2023-11-15T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37563,megawatthours
2023-11-15T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36752,megawatthours
2023-11-15T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36680,megawatthours
2023-11-15T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37114,megawatthours
2023-11-15T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38187,megawatthours
2023-11-15T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39593,megawatthours
2023-11-15T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41700,megawatthours
2023-11-15T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43999,megawatthours
2023-11-15T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45278,megawatthours
2023-11-15T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45931,megawatthours
2023-11-15T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46248,megawatthours
2023-11-15T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44853,megawatthours
2023-11-14T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44485,megawatthours
2023-11-14T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44290,megawatthours
2023-11-14T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44366,megawatthours
2023-11-14T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43885,megawatthours
2023-11-14T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43412,megawatthours
2023-11-14T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43206,megawatthours
2023-11-14T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43400,megawatthours
2023-11-14T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43286,megawatthours
2023-11-14T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43253,megawatthours
2023-11-14T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43174,megawatthours
2023-11-14T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42201,megawatthours
2023-11-14T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39561,megawatthours
2023-11-14T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37618,megawatthours
2023-11-14T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36929,megawatthours
2023-11-14T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36991,megawatthours
2023-11-14T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37429,megawatthours
2023-11-14T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38272,megawatthours
2023-11-14T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39731,megawatthours
2023-11-14T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41774,megawatthours
2023-11-14T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43859,megawatthours
2023-11-14T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45196,megawatthours
2023-11-14T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45631,megawatthours
2023-11-14T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45673,megawatthours
2023-11-14T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44453,megawatthours
2023-11-13T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44064,megawatthours
2023-11-13T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43933,megawatthours
2023-11-13T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44148,megawatthours
2023-11-13T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44145,megawatthours
2023-11-13T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44225,megawatthours
2023-11-13T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44360,megawatthours
2023-11-13T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44663,megawatthours
2023-11-13T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44125,megawatthours
2023-11-13T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43729,megawatthours
2023-11-13T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42865,megawatthours
2023-11-13T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42224,megawatthours
2023-11-13T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39863,megawatthours
2023-11-13T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37806,megawatthours
2023-11-13T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37243,megawatthours
2023-11-13T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36935,megawatthours
2023-11-13T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37242,megawatthours
2023-11-13T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38267,megawatthours
2023-11-13T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39620,megawatthours
2023-11-13T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41483,megawatthours
2023-11-13T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43248,megawatthours
2023-11-13T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44633,megawatthours
2023-11-13T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45192,megawatthours
2023-11-13T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45083,megawatthours
2023-11-13T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43818,megawatthours
2023-11-12T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43208,megawatthours
2023-11-12T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42827,megawatthours
2023-11-12T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42618,megawatthours
2023-11-12T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42708,megawatthours
2023-11-12T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42484,megawatthours
2023-11-12T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42473,megawatthours
2023-11-12T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42179,megawatthours
2023-11-12T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41490,megawatthours
2023-11-12T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40381,megawatthours
2023-11-12T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38908,megawatthours
2023-11-12T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37786,megawatthours
2023-11-12T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36551,megawatthours
2023-11-12T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36066,megawatthours
2023-11-12T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36070,megawatthours
2023-11-12T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36439,megawatthours
2023-11-12T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36992,megawatthours
2023-11-12T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37895,megawatthours
2023-11-12T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39278,megawatthours
2023-11-12T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40599,megawatthours
2023-11-12T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42116,megawatthours
2023-11-12T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42955,megawatthours
2023-11-12T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43650,megawatthours
2023-11-12T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43822,megawatthours
2023-11-12T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42904,megawatthours
2023-11-11T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42409,megawatthours
2023-11-11T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42230,megawatthours
2023-11-11T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42193,megawatthours
2023-11-11T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42546,megawatthours
2023-11-11T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43159,megawatthours
2023-11-11T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43285,megawatthours
2023-11-11T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42852,megawatthours
2023-11-11T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42236,megawatthours
2023-11-11T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41649,megawatthours
2023-11-11T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40281,megawatthours
2023-11-11T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39227,megawatthours
2023-11-11T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37926,megawatthours
2023-11-11T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37175,megawatthours
2023-11-11T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36950,megawatthours
2023-11-11T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37301,megawatthours
2023-11-11T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37975,megawatthours
2023-11-11T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38841,megawatthours
2023-11-11T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40181,megawatthours
2023-11-11T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41809,megawatthours
2023-11-11T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43418,megawatthours
2023-11-11T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44285,megawatthours
2023-11-11T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45022,megawatthours
2023-11-11T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45533,megawatthours
2023-11-11T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44778,megawatthours
2023-11-10T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44224,megawatthours
2023-11-10T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43789,megawatthours
2023-11-10T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44338,megawatthours
2023-11-10T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45062,megawatthours
2023-11-10T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45180,megawatthours
2023-11-10T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45451,megawatthours
2023-11-10T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45620,megawatthours
2023-11-10T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45280,megawatthours
2023-11-10T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44828,megawatthours
2023-11-10T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43854,megawatthours
2023-11-10T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42493,megawatthours
2023-11-10T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39745,megawatthours
2023-11-10T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38108,megawatthours
2023-11-10T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37704,megawatthours
2023-11-10T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38067,megawatthours
2023-11-10T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38745,megawatthours
2023-11-10T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39744,megawatthours
2023-11-10T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41471,megawatthours
2023-11-10T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43726,megawatthours
2023-11-10T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45990,megawatthours
2023-11-10T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47210,megawatthours
2023-11-10T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48156,megawatthours
2023-11-10T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48908,megawatthours
2023-11-10T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48792,megawatthours
2023-11-09T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48092,megawatthours
2023-11-09T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48142,megawatthours
2023-11-09T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48928,megawatthours
2023-11-09T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49746,megawatthours
2023-11-09T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49643,megawatthours
2023-11-09T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49182,megawatthours
2023-11-09T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48364,megawatthours
2023-11-09T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47127,megawatthours
2023-11-09T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46118,megawatthours
2023-11-09T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45166,megawatthours
2023-11-09T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43939,megawatthours
2023-11-09T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41139,megawatthours
2023-11-09T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39610,megawatthours
2023-11-09T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39428,megawatthours
2023-11-09T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40054,megawatthours
2023-11-09T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41152,megawatthours
2023-11-09T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42522,megawatthours
2023-11-09T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44973,megawatthours
2023-11-09T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47916,megawatthours
2023-11-09T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,50534,megawatthours
2023-11-09T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,52096,megawatthours
2023-11-09T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53111,megawatthours
2023-11-09T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53724,megawatthours
2023-11-09T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53519,megawatthours
2023-11-08T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55286,megawatthours
2023-11-08T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56881,megawatthours
2023-11-08T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,56442,megawatthours
2023-11-08T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,55120,megawatthours
2023-11-08T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,53386,megawatthours
2023-11-08T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,51546,megawatthours
2023-11-08T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,49887,megawatthours
2023-11-08T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,48183,megawatthours
2023-11-08T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46489,megawatthours
2023-11-08T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45088,megawatthours
2023-11-08T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44102,megawatthours
2023-11-08T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41352,megawatthours
